,q,100000,1000000,10000000
0,1,9e-05,0.000519,6.74e-05
1,2,0.00119,0.000682,0.0010121
2,3,0.00073,0.000878,0.0007146
3,4,0.00091,0.001089,0.0003450
4,5,0.00173,0.000266,0.0006193
5,6,0.000297,0.0004864,0.0017291
6,7,0.000412,0.012727,0.0003662
7,8,0.0012,0.0003756,0.00025123
8,9,0.000233,0.0004058,0.00024197
9,10,0.000424,0.0004532,0.00039018
10,11,0.000235,0.0002307,0.00044353
11,12,0.000271,0.000353,0.0003824
12,13,0.000578,0.000513,0.00046376
13,14,0.000279,0.0004363,0.00043112
14,15,0.00101,0.0005768,0.00030799